callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
CXA857,,781112,B-7838,B789,,KLAX,2018-12-31 10:42:36+00:00,2019-01-01 00:30:34+00:00,2019-01-01 00:00:00+00:00,26.38078308,119.7707209,6705.6,33.95417812,-118.3820343,167.64
UAE264,,896175,A6-EWC,B77L,SBGR,OMDB,2018-12-31 10:45:53+00:00,2019-01-01 00:11:47+00:00,2019-01-01 00:00:00+00:00,-23.42043085,-46.43280029,914.4,25.25556564,55.34965515,-60.96
KAL037,,71bf84,HL7784,B77W,,K06C,2018-12-31 10:55:23+00:00,2019-01-01 14:12:12+00:00,2019-01-01 00:00:00+00:00,34.50750732,126.7983697,11277.6,41.96543884,-88.01209883,487.68
BAW2256,,400772,G-VIIU,B772,EGKK,EGKK,2018-12-31 10:55:38+00:00,2019-01-01 09:27:26+00:00,2019-01-01 00:00:00+00:00,51.14266088,-0.230178833,0,51.15797424,-0.118993811,99.06
HAL16,,a48ae7,N392HA,A332,YSSY,KSAN,2018-12-31 10:57:17+00:00,2019-01-01 05:53:21+00:00,2019-01-01 00:00:00+00:00,-33.95320129,151.1777605,0,32.73502156,-117.1955903,-7.62
AAR511,,71bf32,HL7732,B772,,,2018-12-31 11:02:11+00:00,2019-01-01 16:11:59+00:00,2019-01-01 00:00:00+00:00,35.77781548,140.0743395,6705.6,41.51160806,2.937118175,3474.72
UAE3XE,,8960ee,A6-EDM,A388,YBBN,OMDB,2018-12-31 11:02:27+00:00,2019-01-01 01:04:59+00:00,2019-01-01 00:00:00+00:00,-27.36266055,153.1406461,0,25.24545314,55.36965568,-60.96
BAW8VA,,400776,G-VIIY,B772,EGKK,EGKK,2018-12-31 11:02:49+00:00,2019-01-01 08:50:27+00:00,2019-01-01 00:00:00+00:00,51.14268494,-0.22915402,0,51.15779114,-0.120552682,91.44
KQA002,,04c118,5Y-KZB,B788,,KJFK,2018-12-31 11:03:25+00:00,2019-01-01 10:54:22+00:00,2019-01-01 00:00:00+00:00,-25.83961099,28.53186387,4572,40.65948486,-73.74365234,152.4
IBE6346,,345109,EC-MKI,A332,LEMD,LEMD,2018-12-31 11:07:49+00:00,2019-01-01 09:14:16+00:00,2019-01-01 00:00:00+00:00,40.54627991,-3.575012207,914.4,40.48222733,-3.571838379,441.96
